date,bike_usage
2015-11-29,1150
2015-11-30,2196
2015-12-01,2159
2015-12-02,1593
2015-12-03,2604
2015-12-04,2487
2015-12-05,1633
2015-12-06,1517
2015-12-07,2531
2015-12-08,2299
2015-12-09,2502
2015-12-10,2658
2015-12-11,2697
2015-12-12,1782
2015-12-13,1435
2015-12-14,2133
2015-12-15,2307
2015-12-16,2287
2015-12-17,1442
2015-12-18,1863
2015-12-19,788
2015-12-20,774
2015-12-21,1760
2015-12-22,987
2015-12-23,1296
2015-12-24,918
2015-12-25,1014
2015-12-26,620
2015-12-27,507
2015-12-28,991
2015-12-29,192
2015-12-30,489
2015-12-31,651
2016-01-01,242
2016-01-02,221
2016-01-03,245
2016-01-04,277
2016-01-05,325
2016-01-06,461
2016-01-07,536
2016-01-08,538
2016-01-09,327
2016-01-10,121
2016-01-11,492
2016-01-12,488
2016-01-13,427
2016-01-14,469
2016-01-15,520
2016-01-16,260
2016-01-17,269
2016-01-18,201
2016-01-19,292
2016-01-20,420
2016-01-21,410
2016-01-22,425
2016-01-23,159
2016-01-24,193
2016-01-25,463
2016-01-26,568
2016-01-27,620
2016-01-28,617
2016-01-29,600
2016-01-30,438
2016-01-31,431
2016-02-01,851
2016-02-02,816
2016-02-03,565
2016-02-04,802
2016-02-05,133
2016-02-06,258
2016-02-07,316
2016-02-08,117
2016-02-09,374
2016-02-10,473
2016-02-11,515
2016-02-12,416
2016-02-13,171
2016-02-14,95
2016-02-15,201
2016-02-16,381
2016-02-17,669
2016-02-18,619
2016-02-19,605
2016-02-20,614
2016-02-21,540
2016-02-22,746
2016-02-23,701
2016-02-24,378
2016-02-25,725
2016-02-26,644
2016-02-27,462
2016-02-28,630
2016-02-29,826
2016-03-01,829
2016-03-02,580
2016-03-03,754
2016-03-04,657
2016-03-05,650
2016-03-06,662
2016-03-07,1042
2016-03-08,1336
2016-03-09,1874
2016-03-10,987
2016-03-11,1499
2016-03-12,1622
2016-03-13,1613
2016-03-14,1124
2016-03-15,512
2016-03-16,1693
2016-03-17,1684
2016-03-18,1651
2016-03-19,1189
2016-03-20,752
2016-03-21,919
2016-03-22,1725
2016-03-23,2154
2016-03-24,1732
2016-03-25,1136
2016-03-26,1347
2016-03-27,1110
2016-03-28,978
2016-03-29,2073
2016-03-30,2538
2016-03-31,2855
2016-04-01,2892
2016-04-02,888
2016-04-03,729
2016-04-04,450
2016-04-05,1189
2016-04-06,1848
2016-04-07,1238
2016-04-08,2252
2016-04-09,1644
2016-04-10,1686
2016-04-11,2151
2016-04-12,2300
2016-04-13,3086
2016-04-14,3151
2016-04-15,3458
2016-04-16,2834
2016-04-17,3872
2016-04-18,3813
2016-04-19,3363
2016-04-20,3843
2016-04-21,4594
2016-04-22,4098
2016-04-23,2842
2016-04-24,3222
2016-04-25,3865
2016-04-26,2503
2016-04-27,4279
2016-04-28,4296
2016-04-29,4291
2016-04-30,3585
2016-05-01,1984
2016-05-02,2110
2016-05-03,2363
2016-05-04,2855
2016-05-05,2365
2016-05-06,3622
2016-05-07,2153
